,JPM,BAC,C,WFC,GS,MS,USB,PNC,TFC,BK,STT,HSBC,BCS,LYG,DB,SAN,BBVA,ING,UBS,MUFG,SMFG,MFG,NMR,RY,TD,BNS,ITUB,BBD,AAPL,MSFT,XOM,WMT,BA,T,TM,VWAGY,SIEGY,PBR,IDCBY,DBSDY,IBN,KB,CMWAY,WBC.AX,1120.SR,QNBK.QA,SGBLY,FANDY
BBD,0.280677,0.327180,0.301653,0.316585,0.296213,0.274520,0.289820,0.295929,0.308831,0.287307,0.285497,0.362121,0.364563,0.384805,0.359310,0.427793,0.371234,0.366351,0.315006,0.201922,0.202820,0.159070,0.206648,0.363621,0.368127,0.339590,0.825430,1.000000,0.221940,0.128321,0.230678,0.045157,0.200207,0.197626,0.212588,0.283221,0.276764,0.503510,0.227429,0.261959,0.259804,0.271070,0.241169,0.178453,0.104002,0.083917,0.265273,0.081911
AAPL,0.375297,0.346184,0.353798,0.365381,0.426917,0.428052,0.295878,0.366893,0.320594,0.376688,0.397426,0.251699,0.302059,0.333766,0.334130,0.346154,0.357902,0.336708,0.363263,0.210364,0.221326,0.235233,0.290755,0.453154,0.397690,0.419027,0.246495,0.221940,1.000000,0.703586,0.185803,0.279628,0.398711,0.246955,0.433100,0.444782,0.468273,0.121716,0.190952,0.365883,0.434268,0.278494,0.403271,0.232635,0.090456,0.017048,0.264264,0.077948
MSFT,0.341339,0.328023,0.339962,0.334403,0.406723,0.429640,0.247512,0.339297,0.276987,0.371708,0.395108,0.233285,0.280429,0.341466,0.301506,0.345142,0.393870,0.343994,0.363384,0.209602,0.210886,0.214786,0.280849,0.392698,0.355300,0.393890,0.188559,0.128321,0.703586,1.000000,0.115633,0.258484,0.340252,0.131982,0.415243,0.397410,0.485334,0.063369,0.203797,0.357115,0.399501,0.288765,0.386985,0.141996,0.117619,0.009905,0.243962,0.081887
XOM,0.328950,0.374290,0.417267,0.363195,0.366226,0.347090,0.374672,0.376550,0.348874,0.395650,0.397651,0.313329,0.310945,0.310821,0.292379,0.300350,0.262980,0.267159,0.326362,0.256218,0.239118,0.215126,0.209845,0.436660,0.454396,0.415010,0.249937,0.230678,0.185803,0.115633,1.000000,0.134066,0.282823,0.206198,0.184347,0.229212,0.202698,0.419080,0.157291,0.201004,0.170593,0.247751,0.321885,0.074225,0.213047,0.019467,0.112509,0.122938
WMT,0.193625,0.177700,0.135094,0.159040,0.228764,0.180788,0.124508,0.188448,0.132658,0.185302,0.215273,0.144377,0.107664,0.122997,0.132358,0.124069,0.168716,0.114389,0.151214,0.150920,0.117969,0.122837,0.159958,0.254574,0.224849,0.212512,0.081796,0.045157,0.279628,0.258484,0.134066,1.000000,0.159331,0.175070,0.217051,0.141357,0.118047,0.006100,0.142177,0.138462,0.237323,0.147112,0.217525,0.136781,0.122381,0.051166,0.150527,0.119678
BA,0.423388,0.424790,0.424533,0.430821,0.464158,0.438805,0.372672,0.403806,0.341997,0.447444,0.437331,0.376451,0.428184,0.465726,0.470603,0.467186,0.449357,0.486850,0.432179,0.292685,0.279652,0.256339,0.275537,0.453652,0.460317,0.419808,0.271970,0.200207,0.398711,0.340252,0.282823,0.159331,1.000000,0.220816,0.351384,0.458605,0.436670,0.193050,0.203767,0.346351,0.442706,0.348451,0.401945,0.158309,0.158232,0.051665,0.356207,0.137590
T,0.338226,0.358854,0.382814,0.315584,0.299359,0.273363,0.383625,0.316213,0.321258,0.387501,0.386661,0.217605,0.291187,0.283783,0.231952,0.357307,0.296279,0.268245,0.259969,0.200110,0.176011,0.148441,0.211452,0.406216,0.364643,0.384704,0.229884,0.197626,0.246955,0.131982,0.206198,0.175070,0.220816,1.000000,0.209369,0.246355,0.225513,0.107083,0.188693,0.160534,0.224241,0.226164,0.284279,0.128706,0.113344,0.058567,0.167554,0.051181
TM,0.394247,0.420522,0.406813,0.383172,0.426118,0.425358,0.339703,0.376035,0.330434,0.420909,0.405211,0.379765,0.385583,0.416347,0.396019,0.399924,0.430487,0.416055,0.361545,0.458426,0.449924,0.447193,0.460587,0.407075,0.400575,0.426812,0.265994,0.212588,0.433100,0.415243,0.184347,0.217051,0.351384,0.209369,1.000000,0.447294,0.432848,0.196662,0.205691,0.356220,0.345237,0.311762,0.385423,0.195267,0.129682,0.005625,0.272034,0.042010
VWAGY,0.516248,0.539528,0.487612,0.486263,0.506227,0.530323,0.428622,0.467537,0.417493,0.486978,0.470624,0.482005,0.563644,0.602084,0.596620,0.598039,0.614348,0.621841,0.584107,0.330128,0.324279,0.317299,0.376075,0.529828,0.515552,0.515770,0.316381,0.283221,0.444782,0.397410,0.229212,0.141357,0.458605,0.246355,0.447294,1.000000,0.645712,0.206951,0.239239,0.353607,0.483046,0.404119,0.452611,0.226741,0.166435,0.067656,0.440733,0.095727
SIEGY,0.513608,0.500078,0.527481,0.499735,0.565202,0.573557,0.440625,0.459984,0.400650,0.510260,0.491718,0.459385,0.552957,0.571971,0.602559,0.585690,0.620458,0.602590,0.601995,0.363253,0.374722,0.372384,0.419069,0.547263,0.535597,0.527900,0.324844,0.276764,0.468273,0.485334,0.202698,0.118047,0.436670,0.225513,0.432848,0.645712,1.000000,0.222936,0.234440,0.400312,0.459305,0.398183,0.504227,0.250315,0.174951,0.069065,0.415401,0.096194
