"CERT","CITYST","COST","FAILDATE","ID","NAME","QBFASSET","QBFDEP","RESTYPE"
27090,"STOCKTON, CA",34038,"8/20/2010","3849","PACIFIC STATE BANK",312077,278832,"FAILURE"
15640,"CHICAGO, IL",525962,"8/20/2010","3850","SHOREBANK",2166431,1547403,"FAILURE"
27259,"SONOMA, CA",10285,"8/20/2010","3851","SONOMA VALLEY BANK",337113,255501,"FAILURE"
35061,"BRADENTON, FL",61295,"9/10/2010","3852","HORIZON BANK",187819,164594,"FAILURE"
27808,"MILFORD, OH",17928,"9/17/2010","3853","BRAMBLE SAVINGS BANK",47523,41551,"FAILURE"
57448,"DOUGLASVILLE, GA",101039,"9/17/2010","3854","FIRST COMMERCE COMMUNITY BANK",248151,242831,"FAILURE"
57107,"CHERRY HILL, NJ",18856,"9/17/2010","3855","ISN BANK",81564,79652,"FAILURE"
28612,"WEST ALLIS, WI",88384,"9/17/2010","3856","MARITIME SAVINGS BANK",350488,248134,"FAILURE"
58197,"ELLIJAY, GA",79709,"9/17/2010","3857","THE BANK OF ELLIJAY",168820,160718,"FAILURE"
182,"WINDER, GA",101852,"9/17/2010","3858","THE PEOPLES BANK",447185,398181,"FAILURE"
58308,"PONTE VEDRA BEACH, FL",34827,"9/24/2010","3859","HAVEN TRUST BANK FLORIDA",148575,133561,"FAILURE"
35053,"ARLINGTON, WA",70800,"9/24/2010","3860","NORTH COUNTY BANK",288776,276081,"FAILURE"
35250,"SHORELINE, WA",23478,"10/1/2010","3861","SHORELINE BANK",92980,90644,"FAILURE"
21777,"CRAWFORDVILLE, FL",119933,"10/1/2010","3862","WAKULLA BANK",402205,367228,"FAILURE"
34016,"JEFFERSON CITY, MO",308543,"10/15/2010","3863","PREMIER BANK",989382,869367,"FAILURE"
30898,"OLATHE, KS",53100,"10/15/2010","3864","SECURITY SAVINGS BANK, F.S.B.",453349,347080,"FAILURE"
58205,"CHESTERFIELD, MO",22436,"10/15/2010","3865","WESTBRIDGE BANK AND TRUST COMPANY",87782,70131,"FAILURE"
32582,"SCOTTSDALE, AZ",26776,"10/22/2010","3866","FIRST ARIZONA SAVINGS, A FSB",255920,190615,"FAILURE"
27573,"JACKSONVILLE, FL",14277,"10/22/2010","3867","FIRST BANK OF JACKSONVILLE",73922,72198,"FAILURE"
16089,"MAYWOOD, IL",44303,"10/22/2010","3868","FIRST SUBURBAN NATIONAL BANK",143451,135475,"FAILURE"
22173,"OVERLAND PARK, KS",275262,"10/22/2010","3869","HILLCREST BANK",1583611,1488785,"FAILURE"
32251,"TAMPA, FL",34562,"10/22/2010","3870","PROGRESS BANK OF FLORIDA",94823,86861,"FAILURE"
2119,"BARNESVILLE, GA",46897,"10/22/2010","3871","THE FIRST NATIONAL BANK OF BARNESVILLE",126622,122880,"FAILURE"
33904,"GORDON, GA",10354,"10/22/2010","3872","THE GORDON BANK",29259,26867,"FAILURE"
57885,"WESTMINSTER, CA",14264,"11/5/2010","3873","FIRST VIETNAMESE AMERICAN BANK",48000,47012,"FAILURE"
31263,"RANDALLSTOWN, MD",136316,"11/5/2010","3874","K BANK",538258,500056,"FAILURE"
34411,"TACOMA, WA",26754,"11/5/2010","3875","PIERCE COMMERCIAL BANK",221082,193473,"FAILURE"
58087,"WOODLAND HILLS, CA",16943,"11/5/2010","3876","WESTERN COMMERCIAL BANK",98635,101127,"FAILURE"
35463,"SCOTTSDALE, AZ",52561,"11/12/2010","3877","COPPER STAR BANK",203955,190182,"FAILURE"
14580,"VIDALIA, GA",125908,"11/12/2010","3878","DARBY BANK & TRUST COMPANY",654714,587626,"FAILURE"
57831,"TIFTON, GA",21383,"11/12/2010","3879","TIFTON BANKING COMPANY",143729,141573,"FAILURE"
35078,"BALA CYNWYD, PA",12652,"11/19/2010","3880","ALLEGIANCE BANK OF NORTH AMERICA",106595,91996,"FAILURE"
5287,"BURLINGTON, WI",86071,"11/19/2010","3881","FIRST BANKING CENTER",750724,664752,"FAILURE"
20340,"CARRABELLE, FL",44443,"11/19/2010","3882","GULF STATE COMMUNITY BANK",112144,112193,"FAILURE"
35561,"SOUTHAMPTON, PA",22495,"12/10/2010","3883","EARTHSTAR BANK",112643,104505,"FAILURE"
34673,"FARMINGTON HILLS, MI",68586,"12/10/2010","3884","PARAMOUNT BANK",252744,213550,"FAILURE"
58495,"MCCAYSVILLE, GA",28452,"12/17/2010","3885","APPALACIAN COMMUNITY BANK, F.S.B.",68201,76360,"FAILURE"
34578,"DAWSONVILLE, GA",83075,"12/17/2010","3886","CHESTATEE STATE BANK",244376,240476,"FAILURE"
23306,"LINO LAKES, MN",5827,"12/17/2010","3887","COMMUNITY NATIONAL BANK",31569,28844,"FAILURE"
58052,"BATESVILLE, AR",24771,"12/17/2010","3888","FIRST SOUTHERN BANK",191764,155803,"FAILURE"
19040,"CORAL GABLES, FL",28965,"12/17/2010","3889","THE BANK OF MIAMI",448150,374218,"FAILURE"
35065,"ATLANTA, GA",96415,"12/17/2010","3890","UNITED AMERICAS BANK",242339,193803,"FAILURE"
34965,"ORLANDO, FL",88904,"1/7/2011","3891","FIRST COMMERCIAL BANK OF FLORIDA",578638,537223,"FAILURE"
57820,"SCOTTSDALE, AZ",32224,"1/7/2011","3892","LEGACY BANK",136446,119685,"FAILURE"
57440,"BRUNSWICK, GA",84066,"1/14/2011","3893","OGLETHORPE BANK",211149,201369,"FAILURE"
57868,"EASLEY, SC",45189,"1/21/2011","3894","COMMUNITYSOUTH BANK AND TRUST",340986,314250,"FAILURE"
19758,"MCDONOUGH, GA",43538,"1/21/2011","3895","ENTERPRISE BANKING COMPANY",99461,94591,"FAILURE"
34516,"ASHEVILLE, NC",43945,"1/21/2011","3896","THE BANK OF ASHEVILLE",204925,199394,"FAILURE"
31293,"DENVER, CO",133440,"1/21/2011","3897","UNITED WESTERN BANK",2153690,1535194,"FAILURE"
5328,"STOUGHTON, WI",28060,"1/28/2011","3898","EVERGREEN STATE BANK",240949,193694,"FAILURE"
12261,"TAOS, NM",230712,"1/28/2011","3899","FIRST COMMUNITY BANK",2188154,1847851,"FAILURE"
57646,"LOUISVILLE, CO",232851,"1/28/2011","3900","FIRSTIER BANK",764090,718797,"FAILURE"
2303,"CAMARGO, OK",33590,"1/28/2011","3901","THE FIRST STATE BANK",44546,41204,"FAILURE"
57432,"ROSWELL, GA",69323,"2/4/2011","3902","AMERICAN TRUST BANK",238205,222161,"FAILURE"
57948,"CHICAGO, IL",10213,"2/4/2011","3903","COMMUNITY FIRST BANK - CHICAGO",51083,49504,"FAILURE"
35242,"WATKINSVILLE, GA",48161,"2/4/2011","3904","NORTH GEORGIA BANK",153172,139672,"FAILURE"
13272,"CASSVILLE, WI",19454,"2/11/2011","3905","BADGER STATE BANK",83828,78549,"FAILURE"
34692,"PALM SPRINGS, CA",15617,"2/11/2011","3906","CANYON NATIONAL BANK",210859,205285,"FAILURE"
14939,"HAMTRAMCK, MI",103057,"2/11/2011","3907","PEOPLES STATE BANK",390524,389868,"FAILURE"
35478,"PORT ORANGE, FL",32294,"2/11/2011","3908","SUNSHINE STATE COMMUNITY BANK",125531,116715,"FAILURE"
57855,"NAPA, CA",20076,"2/18/2011","3909","CHARTER OAK BANK",120833,105309,"FAILURE"
34601,"SPRINGFIELD, GA",48229,"2/18/2011","3910","CITIZENS BANK OF EFFINGHAM",214275,206490,"FAILURE"
151,"CLARKESVILLE, GA",119370,"2/18/2011","3911","HABERSHAM BANK",387681,339934,"FAILURE"
34783,"SAN LUIS OBISPO, CA",72906,"2/18/2011","3912","SAN LUIS TRUST BANK, FSB",332596,272216,"FAILURE"
34187,"ST. CHARLES, IL",28270,"2/25/2011","3913","VALLEY COMMUNITY BANK",123774,124179,"FAILURE"
34818,"MILWAUKEE, WI",73718,"3/11/2011","3914","LEGACY BANK",190418,183309,"FAILURE"
4077,"DAVIS, OK",29846,"3/11/2011","3915","THE FIRST NATIONAL BANK OF DAVIS",90183,68331,"FAILURE"
34292,"WOOD DALE, IL",44142,"3/25/2011","3916","THE BANK OF COMMERCE",163074,161379,"FAILURE"
35418,"LAS VEGAS, NV",38492,"4/8/2011","3917","NEVADA COMMERCE BANK",135064,128573,"FAILURE"
10086,"WESTERN SPRINGS, IL",38047,"4/8/2011","3918","WESTERN SPRINGS NATIONAL BANK AND TRUST",186677,182441,"FAILURE"
21495,"CARTERSVILLE, GA",83037,"4/15/2011","3919","BARTOW COUNTY BANK",314019,290005,"FAILURE"
14273,"CARTHAGE, MS",37841,"4/15/2011","3920","HERITAGE BANKING GROUP",228328,205035,"FAILURE"
57705,"EAST ELLIJAY, GA",34708,"4/15/2011","3921","NEW HORIZONS BANK",103055,99022,"FAILURE"
19794,"BIRMINGHAM, AL",182002,"4/15/2011","3922","NEXITY BANK",757574,611681,"FAILURE"
24099,"ROSEMOUNT, MN",5398,"4/15/2011","3923","ROSEMOUNT NATIONAL BANK",21454,20980,"FAILURE"
17750,"BIRMINGHAM, AL",281455,"4/15/2011","3924","SUPERIOR BANK",2977290,2736201,"FAILURE"
34234,"MOUNT CLEMENS, MI",98636,"4/29/2011","3925","COMMUNITY CENTRAL BANK",451683,371494,"FAILURE"
57625,"BROOKSVILLE, FL",17194,"4/29/2011","3926","CORTEZ COMMUNITY  BANK",66282,65439,"FAILURE"
58539,"DALLAS, GA",105180,"4/29/2011","3927","FIRST CHOICE COMMUNITY BANK",291196,294769,"FAILURE"
26297,"WINTER PARK, FL",42899,"4/29/2011","3928","FIRST NATIONAL BANK OF CENTRAL FLORIDA",342079,308784,"FAILURE"
19797,"VALDOSTA, GA",212045,"4/29/2011","3929","THE PARK AVENUE BANK",849409,724483,"FAILURE"
34898,"COCOA BEACH, FL",18527,"5/6/2011","3930","COASTAL BANK",129429,123950,"FAILURE"
57213,"MACON, GA",280971,"5/20/2011","3931","ATLANTIC SOUTHERN BANK",741855,707643,"FAILURE"
57647,"FRANKLIN, GA",134595,"5/20/2011","3932","FIRST GEORGIA BANKING COMPANY",730981,702231,"FAILURE"
513,"BURLINGTON, WA",24195,"5/20/2011","3933","SUMMIT BANK",142729,131631,"FAILURE"
23626,"SNOHOMISH, WA",33596,"5/27/2011","3934","FIRST HERITAGE BANK",173478,163303,"FAILURE"
58420,"CHARLESTON, SC",31204,"6/3/2011","3935","ATLANTIC BANK AND TRUST",208204,191614,"FAILURE"
27583,"TAMPA, FL",33477,"6/17/2011","3936","FIRST COMMERCIAL BANK OF TAMPA BAY",98624,92641,"FAILURE"
19237,"JACKSON, GA",75418,"6/17/2011","3937","MCINTOSH STATE BANK",339929,324403,"FAILURE"
57593,"CLAYTON, GA",34480,"6/24/2011","3938","MOUNTAIN HERITAGE BANK",103716,89554,"FAILURE"
34522,"CASTLE ROCK, CO",254944,"7/8/2011","3939","COLORADO CAPITAL BANK",665806,635202,"FAILURE"
27935,"CHICAGO, IL",192899,"7/8/2011","3940","FIRST CHICAGO BANK & TRUST",896864,830530,"FAILURE"
57835,"WINDSOR, CO",23311,"7/8/2011","3941","SIGNATURE  BANK",62518,60349,"FAILURE"
34870,"PORT SAINT LUCIE, FL",13110,"7/15/2011","3942","FIRST PEOPLES BANK",225035,207621,"FAILURE"
19554,"STOCKBRIDGE, GA",70772,"7/15/2011","3943","HIGH TRUST BANK",180340,177221,"FAILURE"
58238,"ATLANTA, GA",40555,"7/15/2011","3944","ONE GEORGIA BANK",177715,158123,"FAILURE"
57442,"PRESCOTT, AZ",14868,"7/15/2011","3945","SUMMIT BANK",73066,67471,"FAILURE"
2994,"GREELEY, CO",135593,"7/22/2011","3946","BANK OF CHOICE",954106,818670,"FAILURE"
35244,"SARASOTA, FL",37389,"7/22/2011","3947","LANDMARK BANK OF FLORIDA",266482,244362,"FAILURE"
58056,"APOLLO BEACH, FL",11403,"7/22/2011","3948","SOUTHSHORE COMMUNITY BANK",41252,41434,"FAILURE"
58222,"COLUMBIA, SC",49181,"7/29/2011","3949","BANKMERIDIAN, N.A.",232648,209737,"FAILURE"
4392,"EVANSVILLE, IN",26416,"7/29/2011","3950","INTEGRA BANK NATIONAL ASSOCIATION",1994430,1693592,"FAILURE"
58283,"RICHMOND, VA",19851,"7/29/2011","3951","VIRGINIA BUSINESS BANK",83493,72955,"FAILURE"
22637,"SHOREWOOD, IL",29378,"8/5/2011","3952","BANK OF SHOREWOOD",110723,104021,"FAILURE"
22528,"COLFAX, WA",100914,"8/5/2011","3953","BANK OF WHITMAN",548570,515732,"FAILURE"
4744,"OLATHE, KS",103328,"8/12/2011","3954","THE FIRST NATIONAL BANK OF OLATHE",538091,524290,"FAILURE"
34130,"HUNTINGDON VALLEY, PA",15828,"8/18/2011","3955","PUBLIC SAVINGS BANK",46818,45770,"FAILURE"
57212,"GENEVA, IL",34064,"8/19/2011","3956","FIRST CHOICE BANK",141016,137215,"FAILURE"
57239,"STATESBORO, GA",22171,"8/19/2011","3957","FIRST SOUTHERN NATIONAL BANK",164599,159673,"FAILURE"
35356,"PALM BEACH, FL",183721,"8/19/2011","3958","LYDIAN PRIVATE BANK",1700117,1253835,"FAILURE"
58226,"WOODSTOCK, GA",33845,"9/2/2011","3959","CREEKSIDE BANK",102338,96583,"FAILURE"
58273,"CUMMING, GA",54248,"9/2/2011","3960","PATRIOT BANK OF GEORGIA",150751,140612,"FAILURE"
25155,"MILTON, FL",75749,"9/9/2011","3961","THE FIRST NATIONAL BANK OF FLORIDA",296841,280095,"FAILURE"
20408,"NORFOLK, VA",238719,"9/23/2011","3962","BANK OF THE COMMONWEALTH",985096,901845,"FAILURE"
33983,"NEVADA CITY, CA",40895,"9/23/2011","3963","CITIZENS BANK OF NORTHERN CALIFORNIA",288765,253079,"FAILURE"
33513,"PLANO, TX",58022,"9/30/2011","3964","FIRST INTERNATIONAL BANK",239916,208775,"FAILURE"
20115,"ELLINGTON, MO",93109,"10/7/2011","3965","SUN SECURITY BANK",351492,280649,"FAILURE"
10216,"WYOMING, MN",71176,"10/7/2011","3966","THE RIVERBANK",419723,384120,"FAILURE"
32347,"ASHEVILLE, NC",44112,"10/14/2011","3967","BLUE RIDGE SAVINGS BANK, INC.",161430,159628,"FAILURE"
35395,"ALEDO, IL",69305,"10/14/2011","3968","COUNTRY BANK",195034,180835,"FAILURE"
58046,"CRANFORD, NJ",45629,"10/14/2011","3969","FIRST STATE BANK",191852,188099,"FAILURE"
57256,"GRAY, GA",88194,"10/14/2011","3970","PIEDMONT COMMUNITY BANK",198993,178773,"FAILURE"
21132,"GREENWOOD VILLAGE, CO",169247,"10/21/2011","3971","COMMUNITY BANKS OF COLORADO",1280964,1239630,"FAILURE"
57036,"JONESBORO, GA",64965,"10/21/2011","3972","COMMUNITY CAPITAL BANK",165291,157808,"FAILURE"
34392,"DECATUR, GA",24568,"10/21/2011","3973","DECATUR FIRST BANK",184750,172042,"FAILURE"
57537,"CLEARWATER, FL",26299,"10/21/2011","3974","OLD HARBOR BANK",209048,212184,"FAILURE"
57759,"DES PLAINES, IL",13753,"10/28/2011","3975","ALL AMERICAN BANK",34800,30542,"FAILURE"
19397,"OMAHA, NE",10944,"11/4/2011","3976","MID CITY BANK, INC.",106075,105461,"FAILURE"
57087,"SAINT GEORGE, UT",43575,"11/4/2011","3977","SUNFIRST BANK",198081,169135,"FAILURE"
57860,"ROCKMART, GA",20301,"11/10/2011","3978","COMMUNITY BANK OF ROCKMART",62383,55906,"FAILURE"
19657,"LACOMBE, LA",48824,"11/18/2011","3979","CENTRAL PROGRESSIVE BANK",383132,347720,"FAILURE"
14194,"JOHNSTON, IA",16053,"11/18/2011","3980","POLK COUNTY BANK",91580,81967,"FAILURE"
58343,"CRESTVIEW, FL",25065,"12/16/2011","3981","PREMIER COMMUNITY BANK OF THE EMERALD COAST",125976,112050,"FAILURE"
57917,"PHOENIX, AZ",41735,"12/16/2011","3982","WESTERN NATIONAL BANK",162872,144491,"FAILURE"
31581,"BOOTHWYN, PA",4671,"1/20/2012","3983","AMERICAN EAGLE SAVINGS BANK",19259,17548,"FAILURE"
57186,"BELLEVIEW, FL",13697,"1/20/2012","3984","CENTRAL FLORIDA STATE BANK",71485,71080,"FAILURE"
19252,"STOCKBRIDGE, GA",192145,"1/20/2012","3985","THE FIRST STATE BANK",516760,509065,"FAILURE"
19869,"KNOXVILLE, TN",74064,"1/27/2012","3986","BANKEAST",261947,259571,"FAILURE"
