"CERT","CITYST","COST","FAILDATE","ID","NAME","QBFASSET","QBFDEP","RESTYPE"
32368,"BEL AIR, MD",10954,"5/30/2014","4066","SLAVIE FEDERAL SAVINGS BANK",140063,111142,"FAILURE"
10450,"MOLINE, IL",47807,"6/20/2014","4067","VALLEY BANK",456442,359953,"FAILURE"
21793,"FORT LAUDERDALE, FL",5439,"6/20/2014","4068","VALLEY BANK",81843,66541,"FAILURE"
12483,"FREEDOM, OK",3734,"6/27/2014","4069","THE FREEDOM STATE BANK",22816,20855,"FAILURE"
58125,"CONYERS, GA",38334,"7/18/2014","4070","EASTSIDE COMMERCIAL BANK",173946,166875,"FAILURE"
28462,"CHICAGO, IL",18412,"7/25/2014","4071","GREENCHOICE BANK, FSB",70286,68722,"FAILURE"
4862,"RISING SUN, MD",19837,"10/17/2014","4072","NBRS FINANCIAL BANK",155353,151559,"FAILURE"
916,"CHICAGO, IL",54424,"10/24/2014","4073","THE NATIONAL REPUBLIC BANK OF CHICAGO",843118,809638,"FAILURE"
34738,"PALM DESERT, CA",2905,"11/7/2014","4074","FRONTIER BANK, FSB",80736,76344,"FAILURE"
34983,"MANKATO, MN",3946,"12/19/2014","4075","NORTHERN STAR BANK",18794,18221,"FAILURE"
17557,"CRESTVIEW, FL",6329,"1/16/2015","4076","FIRST NATIONAL BANK OF CRESTVIEW",73804,73199,"FAILURE"
20290,"CHICAGO, IL",4743,"1/23/2015","4077","HIGHLAND COMMUNITY BANK",54727,53453,"FAILURE"
33938,"ATLANTA, GA",95942,"2/13/2015","4078","CAPITOL CITY BANK & TRUST COMPANY",272311,262652,"FAILURE"
32102,"SAN JUAN, PR",690472,"2/27/2015","4079","DORAL BANK",5898515,4097734,"FAILURE"
57772,"CHICAGO, IL",20647,"5/8/2015","4080","EDGEBROOK BANK",90034,90007,"FAILURE"
34112,"DENVER, CO",1210,"7/10/2015","4081","PREMIER BANK",26760,25480,"FAILURE"
35156,"LONGVIEW, WA",995,"10/2/2015","4082","HOMETOWN NATIONAL BANK",3785,3705,"FAILURE"
35259,"PEACHTREE CITY, GA",27760,"10/2/2015","4083","THE BANK OF GEORGIA",286102,264234,"FAILURE"
20364,"MILWAUKEE, WI",11773,"3/11/2016","4084","NORTH MILWAUKEE STATE BANK",67115,61493,"FAILURE"
9956,"MEMPHIS, TN",10372,"4/29/2016","4085","TRUST COMPANY BANK",18998,20148,"FAILURE"
35312,"KING OF PRUSSIA, PA",10825,"5/6/2016","4086","FIRST CORNERSTONE BANK",103307,101040,"FAILURE"
11297,"WOODBURY, GA",3290,"8/19/2016","4087","THE WOODBURY BANKING COMPANY",21426,21122,"FAILURE"
91,"MULBERRY, AR",6213,"9/23/2016","4088","ALLIED BANK",66336,64713,"FAILURE"
34951,"PENNSVILLE, NJ",22158,"1/13/2017","4089","HARVEST COMMUNITY BANK",124223,122177,"FAILURE"
